p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
bonferroni	20	TRUE	1e-05	100	TRUE	0.01	0.9024	0.175675675675676
hommel	70	TRUE	0.001	150	TRUE	0.1	0.9016	0.174496644295302
holm	90	FALSE	1e-06	150	FALSE	0.07	0.9008	0.205128205128205
hommel	100	TRUE	1e-05	100	FALSE	0.09	0.9008	0.205128205128205
bonferroni	80	FALSE	1e-05	100	FALSE	0.01	0.9008	0.194805194805195
hochberg	10	TRUE	1e-05	50	FALSE	0.08	0.9008	0.205128205128205
holm	50	FALSE	1e-04	150	FALSE	0.08	0.9008	0.205128205128205
holm	100	TRUE	1e-04	200	FALSE	0.04	0.9008	0.205128205128205
holm	10	TRUE	1e-04	150	FALSE	0.02	0.9008	0.205128205128205
hommel	0	FALSE	1e-06	150	FALSE	0.08	0.9008	0.205128205128205
hommel	60	TRUE	1e-06	175	FALSE	0.01	0.9008	0.205128205128205
bonferroni	20	TRUE	1e-05	50	TRUE	0.06	0.9016	0.174496644295302
hommel	20	FALSE	1e-06	50	TRUE	0.07	0.9016	0.174496644295302
hommel	50	TRUE	0.001	200	FALSE	0.08	0.9008	0.205128205128205
holm	0	FALSE	1e-05	125	FALSE	0.07	0.9008	0.205128205128205
holm	80	TRUE	1e-04	125	TRUE	0.1	0.9024	0.175675675675676
hommel	40	FALSE	1e-04	125	TRUE	0.01	0.9016	0.174496644295302
BY	70	TRUE	1e-06	125	FALSE	0.05	0.8976	0.209876543209877
hommel	30	TRUE	1e-04	175	TRUE	0.04	0.9016	0.174496644295302
bonferroni	70	FALSE	1e-05	100	TRUE	0.05	0.9024	0.175675675675676
bonferroni	50	TRUE	1e-05	125	TRUE	0.07	0.9024	0.175675675675676
hochberg	30	TRUE	1e-06	175	FALSE	0.06	0.9008	0.205128205128205
bonferroni	40	TRUE	1e-04	50	TRUE	0.07	0.9016	0.174496644295302
fdr	60	TRUE	0.001	200	FALSE	0.07	0.8944	0.290322580645161
